,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
11,1000,59.0,5522,3.90795290004462,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
12,0,26.0,10,0.0002932999632321298,"[0, 3, 1, 0, 2, 3, 2, 3, 0, 3, 2, 1, 3, 3, 1, 3, 3, 3, 2, 0, 0, 0, 1, 3, 3, 2, 0, 2, 3, 3, 3, 2, 2, 1, 2, 0, 3, 3, 1, 0, 0, 2, 2, 3, 3, 1, 3, 2, 0, 0]",True,10,0.2,1000
13,10,59.0,121,0.08545569999841973,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.2,1000
14,257,59.0,2838,1.999186099972576,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.2,1000
15,505,59.0,5522,3.9175433999625966,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.2,1000
16,752,59.0,5522,3.9175433999625966,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.2,1000
17,1000,59.0,5522,3.9175433999625966,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.2,1000
18,0,26.0,10,0.00030780001543462276,"[0, 3, 1, 0, 2, 3, 2, 3, 0, 3, 2, 1, 3, 3, 1, 3, 3, 3, 2, 0, 0, 0, 1, 3, 3, 2, 0, 2, 3, 3, 3, 2, 2, 1, 2, 0, 3, 3, 1, 0, 0, 2, 2, 3, 3, 1, 3, 2, 0, 0]",True,10,0.5,1000
19,10,68.0,122,0.0890524000278674,"[2.0, 0.0, 2.0, 3.0, 1.0, 3.0, 1.0, 3.0, 3.0, 0.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0, 3.0, 2.0, 1.0, 1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 3.0, 2.0, 2.0, 2.0]",True,10,0.5,1000
20,257,68.0,2839,2.0121196000254713,"[2.0, 0.0, 2.0, 3.0, 1.0, 3.0, 1.0, 3.0, 3.0, 0.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0, 3.0, 2.0, 1.0, 1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 3.0, 2.0, 2.0, 2.0]",True,10,0.5,1000
